count,word,incident,request
214,1,3,211
18,2,6,12
14,3,0,14
7,4,0,7
9,5,1,8
1,6,0,1
1,8,0,1
1,10,0,1
1,11,0,1
4,12,0,4
1,13,0,1
5,14,0,5
1,16,0,1
1,20,0,1
1,22,0,1
1,24,0,1
1,27,0,1
1,34,1,0
39,36,0,39
1,37,0,1
5,45,0,5
1,53,0,1
2,57,0,2
8,65,0,8
9,71,0,9
1,75,0,1
1,80,0,1
1,123,0,1
1,140,0,1
1,150,0,1
1,252,0,1
1,1106,1,0
1,1222,0,1
1,1307,0,1
1,2019,0,1
1,2022,0,1
2,8704,0,2
2,706787,0,2
70,тест,13,57
5,тестовый,2,3
46,обращение,34,12
657,выполнять,3,654
788,разблокировка,0,788
204,без,0,204
264,region,0,264
3,включаться,2,1
164,пк,3,161
6059,заявка,21,6038
56,пэвма,4,52
1,периодически,0,1
66,работать,25,41
1,повышенный,0,1
6,шум,1,5
882,запрос,20,862
437,изменение,0,437
956,учетный,0,956
1242,запись,0,1242
316,система21,10,306
85,заблокировать,0,85
1085,пользователь,38,1047
11,многочисленный,11,0
13,отсутствовать,8,5
1,авторизация,1,0
1,система304,1,0
4,штатный,0,4
103,отключение,0,103
339,уза,0,339
276,замена,0,276
249,добавление,1,248
259,сертификат,1,258
271,сервер,4,267
292,система13,7,285
108,атрибут,0,108
285,учётный,0,285
351,разблокировать,0,351
20,интернет,1,19
4,сегмент,0,4
3909,предоставление,3,3906
3134,отзыв,0,3134
3418,правый,0,3418
4372,доступ,5,4367
3557,ресурс,4,3553
799,сервис,128,671
189,sns,2,187
66,базовый,0,66
1371,настройка,1,1370
787,консультация,2,785
680,технический,1,679
633,обслуживание,1,632
350,установка,0,350
126,удаление,0,126
3,доменный,0,3
1,пользоватеть,0,1
158,организация,0,158
280,брм,0,280
102,необходимо,4,98
79,предоставлять,3,76
183,сетевой,3,180
94,сброс,0,94
132,пароль,4,128
401,бот-наблюдение,128,273
154,система23,13,141
391,ухудшение,125,266
429,статус,135,294
409,эп,0,409
421,сервис22,11,410
54,система24,0,54
55,общий,0,55
85,вопрос,1,84
280,система7,0,280
574,контроль,0,574
571,пу,0,571
581,порт,0,581
38,обнаруживать,3,35
22,нарушение,3,19
19,целостность,0,19
22,обработка,1,21
18,задание,0,18
20,сзь,2,18
19,sn,0,19
125,состав,0,125
125,группа,0,125
1,засор,0,1
1,раковина,0,1
2,мужской,0,2
2,сан,0,2
3,узел,0,3
55,включение,1,54
163,система26,3,160
66,перемещение,0,66
10,груз,0,10
71,устранение,15,56
210,ошибка,32,178
72,сообщать,8,64
77,неисправность,13,64
74,система18,9,65
177,домен,0,177
16,привязка,0,16
38,принтер,3,35
33,мф,4,29
54,дистанционный,0,54
54,курс,0,54
208,ne,0,208
394,boss,0,394
3,заправлять,0,3
27,дозатор,0,27
10,размещение,0,10
25,файл,1,24
10,общедоступный,0,10
948,письмо,0,948
1,random9838заявка,0,1
1,random9439заявка,0,1
505,создание,0,505
72,всервис7,0,72
5,пр,0,5
5,энергетик,0,5
7,обновлять,0,7
7,ms,0,7
6,office,0,6
80,система41,0,80
21,формирование,1,20
17,уплотнение,0,17
17,денежный,0,17
