count,word,incident,request
74,1,4,70
72,2,2,70
3,3,0,3
4,4,0,4
2,5,0,2
1,6,0,1
1,8,0,1
13,10,2,11
2,11,1,1
1,13,0,1
1,14,0,1
1,18,0,1
5,20,1,4
2,22,0,2
2,26,0,2
1,28,0,1
1,31,0,1
1,32,0,1
2,33,0,2
1,42,0,1
1,43,0,1
2,45,0,2
1,48,0,1
1,50,1,0
1,55,0,1
1,68,0,1
2,81,0,2
1,82,0,1
2,90,0,2
1,93,1,0
2,94,2,0
2,99,2,0
3,101,0,3
1,103,0,1
1,105,0,1
2,120,0,2
2,130,0,2
1,150,0,1
1,169,0,1
1,200,0,1
1,206,0,1
1,254,0,1
1,300,0,1
1,304,0,1
1,306,0,1
1,308,1,0
2,346,0,2
1,462,0,1
2,520,0,2
1,560,0,1
1,845,0,1
1,1653,0,1
8,2016,0,8
22,тест,6,16
8405,выполнять,59,8346
886,разблокировка,2,884
168,без,5,163
1146,ne,1,1145
1177,boss,1,1176
252,идентификация,0,252
1949,пользователь,69,1880
329,осуществлять,0,329
246,объект,2,244
1308,доступ,7,1301
253,легальный,1,252
910,причина,35,875
504,нарушение,4,500
207,несколько,0,207
210,неправильный,1,209
211,ввод,0,211
473,пароль,4,469
5,выход,1,4
45,стоить,3,42
4,бп,2,2
20,заменять,5,15
4485,работа,38,4447
4272,обращение,5,4267
85,заблокировать,1,84
53,ремонт,2,51
65,система,7,58
4,охлаждение,0,4
6,блок,3,3
2,питание,1,1
30,системный,5,25
559,запрос,58,501
377,отменять,34,343
389,портал,34,355
378,самообслуживание,34,344
16,давать,2,14
179,консультация,6,173
17,сбой,14,3
1,репликация,1,0
65,данный,11,54
54,сервер,21,33
1,система304,1,0
10,среда,1,9
34,управление,1,33
5,применять,4,1
4,обходный,3,1
40,решение,12,28
365,исполнять,3,362
59,прикладывать,0,59
118,атф,1,117
372,зарегистрировать,7,365
82,сисстема398,1,81
204,соответствие,1,203
1265,заявка,62,1203
66,тестовый,6,60
345,разблокировать,1,344
83,отключение,1,82
37,п,1,36
107,прекращать,0,107
72,зона,0,72
6,свой,1,5
56,ответственность,0,56
12,система21,0,12
11,пересчет,1,10
6,эталон,1,5
10,кц,1,9
799,уза,8,791
620,идентифицировать,2,618
256,блокировка,4,252
88,ясный,0,88
615,добрый,0,615
622,день,0,622
254,контрагент,4,250
259,добавлять,2,257
175,справочник,5,170
144,поставщик,2,142
104,подрядчик,0,104
156,исполнитель,0,156
300,наличие,3,297
301,дополнительный,2,299
306,вопрос,0,306
308,просьба,0,308
293,перезванивать,0,293
380,тело,0,380
1,переименование,0,1
24,инициатор,2,22
142,оказывать,3,139
10,оформление,1,9
51,добавление,1,50
202,разделитель,1,201
185,сброс,1,184
